employee_id,salary,pay_cycle
1,99950,Monthly
2,81509,Monthly
3,61164,Monthly
4,83393,Monthly
5,94819,Monthly
6,83259,Monthly
7,67077,Monthly
8,51970,Monthly
9,115957,Monthly
10,75644,Monthly
11,82969,Monthly
12,102328,Monthly
13,112832,Monthly
14,179156,Monthly
15,69034,Monthly
16,80300,Monthly
17,68313,Monthly
18,90072,Monthly
19,136346,Monthly
20,91951,Monthly
21,116446,Monthly
22,54503,Monthly
23,191800,Monthly
24,51246,Monthly
25,82454,Monthly
26,98241,Monthly
27,134056,Monthly
28,47278,Monthly
29,82315,Monthly
30,92056,Monthly
31,114668,Monthly
32,82944,Monthly
33,106367,Monthly
34,72442,Monthly
35,64269,Monthly
36,72564,Monthly
37,90456,Monthly
38,67500,Monthly
39,68343,Monthly
40,84590,Monthly
41,92429,Monthly
42,51968,Monthly
43,132254,Monthly
44,115092,Monthly
45,91892,Monthly
46,75085,Monthly
47,68444,Monthly
48,65586,Monthly
49,53999,Monthly
50,276180,Monthly
51,55677,Monthly
52,63122,Monthly
53,84356,Monthly
54,77105,Monthly
55,78777,Monthly
56,46147,Monthly
57,91853,Monthly
58,81333,Monthly
59,75494,Monthly
60,70155,Monthly
61,78765,Monthly
62,124918,Monthly
63,83388,Monthly
64,121160,Monthly
65,61269,Monthly
66,78217,Monthly
67,142496,Monthly
68,52402,Monthly
69,89776,Monthly
70,86074,Monthly
71,80286,Monthly
72,118980,Monthly
73,95587,Monthly
74,149510,Monthly
75,133783,Monthly
76,62670,Monthly
77,90630,Monthly
78,75361,Monthly
79,71137,Monthly
80,72554,Monthly
81,109179,Monthly
82,64924,Monthly
83,61525,Monthly
84,130055,Monthly
85,132421,Monthly
86,97487,Monthly
87,107421,Monthly
88,121180,Monthly
89,95968,Monthly
90,72030,Monthly
91,123741,Monthly
92,65180,Monthly
93,73408,Monthly
94,120090,Monthly
95,108821,Monthly
96,63277,Monthly
97,147381,Monthly
98,79237,Monthly
99,79799,Monthly
100,76081,Monthly
